,accuracuy,precision,recall,f1_score,name,embeddings_type,data,best_params,is_train
0,0.7824962783044739,0.7941822018057032,0.7837294644084662,0.7862130121016067,MLP,tfidf,title,{},True
1,0.48633333333333334,0.49348726529918685,0.4863333333333334,0.4873658368437067,MLP,tfidf,title,{},False
2,0.419337146438925,0.5952051749271912,0.4121005145718631,0.448590504514718,SVC,tfidf,title,{},True
3,0.378,0.550916320139954,0.37800000000000006,0.4063507072760555,SVC,tfidf,title,{},False
4,0.2962077881375852,0.3557238526065138,0.29425129056934424,0.2922731299813678,NaiveBayes,tfidf,title,{},True
5,0.2853333333333333,0.3600678726604743,0.2853333333333333,0.2817714585813587,NaiveBayes,tfidf,title,{},False
0,0.8864686985818381,0.8877481852333282,0.8863033943649342,0.8866813134257785,MLP,tfidf,synopsis,{},True
1,0.635,0.64026133732894,0.6350000000000001,0.6360591111902812,MLP,tfidf,synopsis,{},False
2,0.5921021703361279,0.6560713115264064,0.5811401049954756,0.5914951119626946,SVC,tfidf,synopsis,{},True
3,0.5646666666666667,0.6297050283867648,0.5646666666666668,0.5665982538099537,SVC,tfidf,synopsis,{},False
4,0.3855676565070908,0.47683648391058325,0.387162704477702,0.3997959294059451,NaiveBayes,tfidf,synopsis,{},True
5,0.368,0.45885938524190134,0.36800000000000005,0.379794736447967,NaiveBayes,tfidf,synopsis,{},False
0,0.7806550184125989,0.7844733460592601,0.7800165134809354,0.78112108743247,MLP,tfidf,both,{},True
1,0.6793333333333333,0.6850367822443003,0.6793333333333333,0.6796739374979435,MLP,tfidf,both,{},False
2,0.6576040115960198,0.7034200868510478,0.6490174046533909,0.6596468315352875,SVC,tfidf,both,{},True
3,0.623,0.669892220798914,0.623,0.625928127623038,SVC,tfidf,both,{},False
4,0.3600250724751234,0.440881794226438,0.3582711023393335,0.3621701334406352,NaiveBayes,tfidf,both,{},True
5,0.33866666666666667,0.4224933221308677,0.3386666666666667,0.33818279692175607,NaiveBayes,tfidf,both,{},False
0,0.798636684165165,0.8220658054058886,0.7954358969972107,0.80316197014424,MLP,w2v,title,{},True
1,0.548,0.5707118810108754,0.5479999999999999,0.5524712973770864,MLP,w2v,title,{},False
2,0.5705555120269529,0.6015688998968438,0.5680049227404625,0.577678584896545,SVC,w2v,title,{},True
3,0.5196666666666667,0.5549145874600505,0.5196666666666667,0.5270739337998895,SVC,w2v,title,{},False
4,0.3275092062994594,0.43345321370053963,0.32481878814374227,0.3210563845429084,NaiveBayes,w2v,title,{},True
5,0.30666666666666664,0.40470706783888005,0.30666666666666664,0.30397314710756995,NaiveBayes,w2v,title,{},False
0,0.8279401394656428,0.8312192054677069,0.8289798381075939,0.8285219743415653,MLP,w2v,synopsis,{},True
1,0.6953333333333334,0.70042116976297,0.6953333333333334,0.6955950407870304,MLP,w2v,synopsis,{},False
2,0.6701402491577215,0.6795330484051525,0.6681802306382116,0.6708417014740636,SVC,w2v,synopsis,{},True
3,0.6403333333333333,0.6501875059315058,0.6403333333333332,0.6405843726729076,SVC,w2v,synopsis,{},False
4,0.4800987228707984,0.5216921910048566,0.4776678084191061,0.4835507944596926,NaiveBayes,w2v,synopsis,{},True
5,0.485,0.5370115891464302,0.48500000000000004,0.4908217276116941,NaiveBayes,w2v,synopsis,{},False
0,0.8899945153960668,0.8978517610700492,0.8896493286977983,0.8899118634743145,MLP,w2v,both,{},True
1,0.6993333333333334,0.7111857403691847,0.6993333333333334,0.6983132825191499,MLP,w2v,both,{},False
2,0.7555825432891954,0.7612198033111014,0.7555996593718565,0.7574386447705488,SVC,w2v,both,{},True
3,0.6903333333333334,0.695981573695193,0.6903333333333334,0.691273514042658,SVC,w2v,both,{},False
4,0.4652902922510382,0.5163056483262166,0.4633403867389185,0.4666259399093827,NaiveBayes,w2v,both,{},True
5,0.46066666666666667,0.5168797038076114,0.46066666666666667,0.4645417262017545,NaiveBayes,w2v,both,{},False
0,0.6828723654313249,0.6905580573245315,0.6857469653863236,0.6790844478607428,MLP,bert_tiny,title,{},True
1,0.521,0.527762455346143,0.521,0.5186494978069482,MLP,bert_tiny,title,{},False
2,0.5986836950560213,0.6080574869081733,0.5939070426404397,0.596717132252124,SVC,bert_tiny,title,{},True
3,0.5233333333333333,0.5371780459914652,0.5233333333333333,0.5244097939705592,SVC,bert_tiny,title,{},False
4,0.40425448562250255,0.4296067399353441,0.39897082204080964,0.3950326023344241,NaiveBayes,bert_tiny,title,{},True
5,0.37833333333333335,0.41006870646864263,0.37833333333333335,0.37254058348987656,NaiveBayes,bert_tiny,title,{},False
0,0.758873305649142,0.7631343931163815,0.7591463527655283,0.7594544876767914,MLP,bert_tiny,synopsis,{},True
